DATOS EPP,,,,,,DATOS EVALUACIÓN,,,,,,
#ID,TIPO EPP,SERVICIO ,ALTA (año),AÑOS,REQUIERE RX,INTEGRIDAD BLINDAJE,COSTURAS Y SUJECIONES,INTEGRIDAD EXTERNA,ESTADO,DESC,PARA REPARAR,COMENTARIOS
121938,Delantal,Quirofano,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
121940,Delantal,Neonatologia,2019,7,NO,OK,OK,OK,A DESCARTAR,FALSE,,
10030,Conj-Chaleco,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
10017,Delantal,Mamo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10016,Delantal,Mamo,2021,5,SI,OK,OK,OK,BAJO RESERVA,FALSE,,
10010,Tiroideo,MAmo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK
10006,Delantal,Sala 1,2000,26,NO,OK,OK,OK,A DESCARTAR,FALSE,,"NO PASA RADIOSCOPIA. DELANTAL MUY VIEJO, GOMA PEGADA INTERNAMENTE , IMAGEN . "
10004,Tiroideo,Mamo,2021,5,SI,OK,OK,OK,BAJO RESERVA,FALSE,,
10121,Tiroideo,Quirofano,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,RADIOSCOPIA OK 
10172,Conj-Pollera,Hemo -OJN,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO 
10173,Conj-Pollera,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,"ex 081802, RADIOSCOPIA OK "
10174,Conj-Chaleco,Hemo - Oyola,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO 
10175,Conj-Chaleco,Hemo - Sonia,2020,6,NO,OK,OK,Defectuoso,A DESCARTAR,FALSE,,ex 082054. REPARANDOSE
10176,Conj-Pollera,Hemo - Sonia,2020,6,NO,OK,OK,Defectuoso,A DESCARTAR,FALSE,,ex 082054   REPARANDOSE
10178,Conj-Pollera,Hemo,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 082051  REPARANDOSE
10181,Tiroideo,Hemo - Kiran,2021,5,SI,OK,OK,OK,BAJO RESERVA,FALSE,,
10183,Conj-Chaleco,Hemo - Virginia Lopez,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 081802. RADIOSCOPIA OK
10184,Delantal,Hemo,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 082056
10185,Delantal,Hemo,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,ex 082055
10186,Delantal,Hemo,2019,7,NO,OK,Defectuoso,Defectuoso,A DESCARTAR,FALSE,SI ,ex 071901. tiras y tela espalda rotas
61817,Delantal,quirofano,2018,8,NO,OK,Defectuoso,OK,A DESCARTAR,FALSE,SI ,ex 061818 
10184,Delantal,Hemodinamia,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
10211,Conj-Pollera,Hemo - Alejandro estrada,2020,6,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO
00001,Tiroideo,Hemo - Javier Oyola,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,REPARADO   
11863,Tiroideo,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,
11860,Tiroideo,Hemo,2018,8,NO,OK,OK,OK,A DESCARTAR,FALSE,,
8297507,Tiroideo,Quirofano,2022,4,NO,OK,OK,OK,APROBADO,FALSE,,
8297526,Tiroideo,Quirofano,2016,10,NO,OK,OK,OK,A DESCARTAR,FALSE,,
8297552,Tiroideo,Quirofano,2016,10,NO,OK,OK,OK,A DESCARTAR,FALSE,,
25301001,Delantal,,2025,1,NO,OK,OK,OK,,,,
25301002,Delantal,,2025,1,NO,OK,OK,OK,,,,
151125-01,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-02,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-03,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-04,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-05,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-06,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-07,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-08,Tiroideo,Quirofano HRF,2017,9,SI,OK,Defectuoso,OK,A DESCARTAR,ABROJOS NO ADHIEREN,,
151125-09,Conj-Pollera,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,POLLERA EX COD 121702,,
151125-10,Delantal,Quirofano HRF,2021,5,SI,OK,OK,OK,BAJO RESERVA,EX COD 310,,
151125-11,Conj-Chaleco,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,,,
151125-12,Conj-Pollera,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,EX COD 121704,,
151125-13,Conj-Pollera,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,EX COD 121703,,
151125-14,Conj-Pollera,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,EX COD 121705,,
151125-15,Delantal,Quirofano HRF,2021,5,SI,OK,OK,OK,BAJO RESERVA,EX COD 10,,
151125-16,Delantal,Quirofano HRF,2021,5,SI,OK,OK,OK,BAJO RESERVA,EX COD 548,,
151125-17,Conj-Chaleco,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,EX COD 121705,,
151125-18,Conj-Chaleco,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,,,
151125-19,Conj-Chaleco,Quirofano HRF,2017,9,SI,OK,OK,OK,A DESCARTAR,EX COD 121703,,
151125-20,Delantal,Quirofano HRF,2021,5,SI,OK,Defectuoso,OK,BAJO RESERVA,"EX COD 547, MANGA COMPLETAMENTE DESCOSIDA",,
,Tiroideo,,,,,,,,,,,
,Tiroideo,,,,,,,,,,,
